(עבודה עיקרית כשכיר על פי הגדרת המשיב בשאלון)","אחוז שכירים בני 15 ומעלה, לפי עשירוני הכנסה מעבודה 10-9
(עבודה עיקרית כשכיר על פי הגדרת המשיב בשאלון )","הכנסה חציונית שנתית מעבודה של עצמאים
(עבודה עיקרית כעצמאי על פי הגדרת המשיב בשאלון)","אחוז עצמאים בני 15 ומעלה, לפי עשירוני הכנסה מעבודה 10-9
(עבודה עיקרית כעצמאי על פי הגדרת המשיב בשאלון)",סך הכל משקי בית,ממוצע נפשות במשק הבית,אחוז משקי הבית שבהם בני 5-0,אחוז משקי הבית שבהם בני 25-18,סמל אורח חיים עיקרי למשק בית,שם אורח חיים עיקרי למשק בית,ממוצע מחשבים במשק הבית ,אחוז משקי הבית שלא עומד לרשותם כלי רכב,אחוז משקי הבית שעומדים לרשותם שני כלי רכב ויותר,אחוז משקי הבית שעומדת לרשותם חנייה,אחוז משקי הבית הגרים בדירה בבעלות,אחוז משקי הבית הגרים בדירה בשכירות
LocNameHeb,LocalityCode,StatArea,StatAreaCmb,pop_approx,change_pcnt,pop_density,religion,ReligionHeb,sexRatio,inst_pcnt,Foreign_pcnt,age0_19_pcnt,age20_64_pcnt,age65_pcnt,DependencyRatio,age_median,m_age_median,w_age_median,married18_34_pcnt,married45_54_pcnt,j_isr_pcnt,j_abr_pcnt,aliya2002_pcnt,aliya2010_pcnt,israel_pcnt,asia_pcnt,africa_pcnt,europe_pcnt,america_pcnt,shem_eretz1,MarriageAge_mdn,m_MarriageAge_mdn,w_MarriageAge_mdn,ChldBorn_avg,koshi5_pcnt,koshi65_pcnt,AcadmCert_pcnt,WrkY_pcnt,Empl_pcnt,SelfEmpl_pcnt,HrsWrkWk_avg,Wrk_15_17_pcnt,WrkOutLoc_pcnt,employeesAnnual_medWage,EmployeesWage_decile9Up,SelfEmployedAnnual_medWage,SelfEmployedWage_decile9Up,hh_total_approx,size_avg,hh0_5_pcnt,hh18_24_pcnt,hh_MidatDatiyut,hh_MidatDatiyut_Name,Computer_avg,Vehicle0_pcnt,Vehicle2up_pcnt,Parking_pcnt,own_pcnt,rent_pcnt
עספיא,534,4,4,5160,,,5,דרוזים,100.9,,,31.8,59.5,8.7,679.9,31,30,33,38,89.7,,,,,,,,,,,24,26,22,2.3,14.1,55.5,16.1,61.9,84.2,15.1,37.5,6.7,59.3,98500,13.4,68400,13,1500,3.4,25.6,23.1,מסורתי,2,1,11.8,40.7,83.7,79.3,6.2
עפולה,7700,,,60830,50,6951.7,1,יהודים,93.8,1.8,0.8,32.4,52.8,14.8,893,32,31,33,41.6,68.1,70.1,29.9,20.4,13.8,38.7,8,20.3,30.4,2.7,ישראל,24,25,23,2.1,11.3,36.8,19.1,66.6,91,8.8,39.4,13.4,43.5,98000,11.6,68600,16.6,21410,2.8,22.7,19.1,חילוני,1,1.1,30.2,22,74.7,61.9,33.3
עפולה,7700,12,12+11,4650,,,1,יהודים,106.9,,,42.1,47.1,10.9,1124.7,24,22,26,55.2,43.2,79.9,20.1,15.4,6.9,51.8,6.6,25.8,13,2.7,ישראל,22,23,21,2.6,17.7,64.2,6.9,53.7,90.2,9.8,34.4,9.8,29.5,61200,2.8,64800,5.3,1360,3.3,35.5,24.7,חרדי,4,0.7,59.9,10.5,53,54.6,36.8
עפולה,7700,13,13,1100,,,1,יהודים,109,,,40.2,56.4,3.5,773.3,24,23,25,64.9,80.7,72.5,27.5,43.2,31.7,46.4,4.3,12.3,32.7,4.2,ישראל,25,26,24,1.7,8.3,51,12.9,73.6,93.9,5.5,36.1,,42.3,77300,3.1,52000,10.3,320,3.4,44,32.9,חילוני,1,1.1,6.6,25,97.7,32.6,64.6
עפולה,7700,14,14+15,3630,,,1,יהודים,95.2,,,31.6,52.4,16,908.5,33,31,35,24.1,66.6,66.7,33.3,9.6,6.2,29.7,10.8,36.5,21.1,1.9,ישראל,23,24,22,2.4,11.1,34.9,12.5,59.8,93,7,35.2,21.3,38.4,95000,11.5,49100,6.5,1160,3.1,20.5,21.2,מסורתי,2,1,33.9,20.8,65.6,74,21.2
עפולה,7700,22,22,3810,,,1,יהודים,94.9,,,33.8,51.8,14.4,929,29,28,30,52.9,53.2,67.3,32.7,23.5,15.1,39.4,3.9,17.2,35,4.5,ישראל,22,23,22,2.3,10.3,32.6,16,59.1,88.7,11.3,36.7,14.7,37.5,73400,10.2,55500,3.3,1270,3.1,29.3,19.5,חילוני,1,1.1,44.8,15.6,39.8,71.3,22.2
עפולה,7700,23,23+21,1840,,,1,יהודים,88.6,,,28.3,56.7,15,763.9,39,36,43,28.3,72.7,44.7,55.3,14.1,8.9,16,3.3,9.7,69.9,1.1,אוקראינה,24,26,22,1.7,10.1,45.7,29.3,71.3,93.9,6.1,40.3,5,42.8,90000,6.6,57800,,680,2.7,14.1,25,חילוני,1,1.3,30.8,21.9,57.1,72.6,19.2
עפולה,7700,24,24,3610,,,1,יהודים,98.3,,,33.5,50.8,15.7,969.4,29,28,31,56,44.4,62.8,37.2,26.6,13.9,34.5,7.1,20.4,34.6,3.4,ישראל,23,24,21,2.5,15.2,39.6,14,52.8,93.5,6.3,35.5,15.9,35.2,71800,3.6,46500,,1370,2.6,23.6,18.8,חילוני,1,0.8,59.5,7.8,29.9,43.7,48.7
עפולה,7700,26,26+25,7140,,,1,יהודים,94.9,,,36.4,54.1,9.4,847.5,31,30,32,48.1,70.1,71.4,28.6,22.7,15.5,40.1,4.6,15.2,36.5,3.5,ישראל,25,26,24,1.9,9.1,29.6,21.8,74.9,88.7,10.8,42.5,11.9,55.1,119600,15.2,65800,11,2340,3,33.3,16.2,חילוני,1,1.3,13,29.4,95.5,56.4,41.5
עפולה,7700,27,27,3490,,,1,יהודים,90,,,37.9,52.6,9.5,901.7,33,33,32,51.7,72.5,74.7,25.3,18.9,11.4,42.8,5.2,16.7,32,3.4,ישראל,25,27,24,2.2,7.8,32,26.5,74.7,91.5,8.5,41.3,12,53.6,121000,16.8,48800,19.4,1150,3,30.6,7.8,חילוני,1,1.4,16.1,31.7,97.3,61.7,35.9
עפולה,7700,32,32,2690,,,1,יהודים,99.5,,,39.2,56.4,4.4,773.2,28,26,28,59.2,74.3,84.8,15.2,23.2,14.6,54.5,5.3,18.6,18.3,3.3,ישראל,26,27,25,1.9,6.2,29.7,23.4,81.5,85,14.6,41.5,30.6,40.3,102800,13.4,87100,14.9,880,3,44.5,11.8,מסורתי,2,1.2,11.1,31.8,95,50.7,46.5
עפולה,7700,33,33,3500,,,1,יהודים,89.5,,,24.9,52.1,23,918.6,38,38,38,37.2,58.6,70.6,29.4,16.1,12.7,37.2,13.1,18.2,29.5,1.9,ישראל,24,26,23,2.1,14.9,37.7,21.3,66,88.8,11,42.4,4.6,38.2,105700,15,38100,9.9,1380,2.5,14.9,15.2,חילוני,1,1.2,25.6,17.2,78.1,67.1,29.2
עפולה,7700,34,34,4470,,,1,יהודים,91,,,26.4,55.5,18.1,801.8,38,36,40,17.4,83.2,78,22,11.3,8.2,41.9,11.9,24.3,19.9,2,ישראל,24,26,22,2.3,10.1,30.6,24.4,65.5,93.5,6.2,40.9,6.4,42.6,130700,21.8,151500,44.5,1500,2.8,13.4,24.1,חילוני,1,1.3,17.1,36.8,89.6,74.3,23
עפולה,7700,42,42+41,1920,,,1,יהודים,88.6,,,24.6,50.6,24.9,978.2,43,40,45,32.1,58.3,54.3,45.7,26.4,19.1,25.4,8.8,19.5,42.1,4.2,ישראל,24,25,22,1.9,12.7,35.6,17.1,64.7,91.8,7.8,36.8,,41.9,92300,9.1,66700,38.5,730,2.4,13.1,21.3,חילוני,1,0.9,38.4,10.1,57.5,55.1,38
עפולה,7700,43,43,3970,,,1,יהודים,88.7,,,26.7,52.3,21,911.5,39,38,40,38.1,67.1,68.9,31.1,22.2,17.3,36.4,11.2,19.4,30.3,2.8,ישראל,24,26,23,2.2,12.2,33.2,17.9,62.7,93.7,6.3,39.9,8,50.6,97600,9.5,57100,12.4,1660,2.4,14.9,14.9,חילוני,1,1.1,30.1,15.5,76.7,64.8,29.9
עפולה,7700,44,44,5040,,,1,יהודים,94.7,,,27.3,55.5,17.2,800.5,36,33,40,36.3,68.4,58.1,41.9,24.3,18.1,29.3,6.1,19.2,43.3,2.1,ישראל,23,25,22,2,13.4,38.9,20,68.3,93.8,6.2,39.6,19.1,41.5,90800,4.7,91400,11.7,2090,2.4,15.4,15.7,חילוני,1,1,43.1,13,75.9,56.9,36
עפולה,7700,45,45,5280,,,1,יהודים,88.3,,,32.2,52,15.8,921.6,34,33,35,38.9,68.7,66.7,33.3,23.6,17.3,36,7.6,20.3,33.8,2.2,ישראל,24,26,23,2,11.5,36.2,17.4,70.1,92.8,7.2,39.6,18.3,49,100100,10.5,69500,25.6,1870,2.8,20.1,19.1,חילוני,1,1.1,27.2,20.9,85.2,62.5,36.3
עפולה,7700,46,46+48,4690,,,1,יהודים,91.8,,,31.8,52.3,15.9,910.3,33,34,32,24.7,87.4,82.1,17.9,11.4,7.1,46.9,14.2,21.8,16.1,1,ישראל,24,25,23,2.2,8.4,34.9,22.3,69.4,86.3,13.3,39.1,16.2,37.7,106000,17.2,109300,30.1,1480,3.1,15.1,31.3,מסורתי,2,1.6,13.8,42.5,88.3,78.9,17.4
עפרה,3617,,,3190,0.8,4833.7,1,יהודים,87.2,4.3,0.4,45.5,47.8,6.7,1091.5,21,23,21,34.3,93.6,86.5,13.5,34.4,12.8,58.6,6.1,8.7,17.9,8.7,ישראל,23,24,23,2.8,3.7,26.8,36,76.7,86.5,13.5,35.6,26.5,63.3,108200,22.7,68800,21.4,820,3.7,26.7,33.1,דתי/ דתי מאוד,3,2.1,13.1,39.7,65.2,64.8,30.8
עץ אפרים,3778,,,2780,314.1,9927.4,1,יהודים,105.9,,0.3,47.2,49.1,3.7,1035.8,22,20,23,52.4,79.6,88.2,11.8,19.7,11.9,64.1,7.7,6.5,16.8,4.9,ישראל,24,25,23,2.4,4.5,24.4,37.3,78.7,82.3,17.7,39,16.8,80,138600,26.9,53300,16.8,740,3.7,37,20.2,דתי/ דתי מאוד,3,1.9,6.8,50.2,66,52.4,38.9
עצמון שגב,917,,,1200,36.6,3532.4,1,יהודים,111.6,,0.1,36.7,55.9,7.4,789,35,32,38,9.1,84.6,89.8,10.2,10.4,5,59.6,4.2,6.2,25.3,4.7,ישראל,26,26,25,2.2,2.8,8.4,62.1,80.9,84.8,15.2,44.3,25.1,80.5,236600,53.6,126500,44.5,350,3.4,21.8,29.1,חילוני,1,2.6,5.1,82,88.5,85.3,6.9
עראבה,531,,,26120,26.6,6278.5,2,מוסלמים,101.1,,0.1,39.3,55,5.6,816.8,26,25,26,43,89.2,,,,,,,,,,,24,26,22,2.6,9.5,50.8,19.5,53.2,88.3,11.4,34.5,3.2,51.6,76700,13,95200,22.4,6960,3.7,31,33.3,מסורתי,2,1,17.6,36.4,78.6,81.9,4.4
עראבה,531,1,1,7100,,,2,מוסלמים,98.8,,,41.5,53.5,5,869,25,26,25,51.3,92.9,,,,,,,,,,,24,26,22,2.4,9.2,45.9,19,54.4,86.4,12.8,35.6,4.4,52,77400,13,135900,28.6,1730,3.8,35.3,31.6,מסורתי,2,1,18.4,37.3,80.4,82.5,4.9
עראבה,531,2,2,3210,,,2,מוסלמים,99.9,,,32.8,57.7,9.5,732.9,28,27,30,37,82.9,,,,,,,,,,,24,26,22,2.9,13.9,57.1,15.4,50.4,88.1,11.9,36.2,8.9,45.7,68900,7.7,92200,20.6,860,3.6,22,29.6,מסורתי,2,0.9,31,27,72.2,81.6,1.9
עראבה,531,3,3,3010,,,2,מוסלמים,106.3,,,35.1,58.1,6.8,719.7,27,27,27,42.6,89.8,,,,,,,,,,,24,26,21,3.1,9.3,55,16.3,47.8,90,10,33.3,,54.6,71300,21.4,104900,30.1,800,3.5,24.3,32.7,דתי/ דתי מאוד,3,0.8,21.2,32,74.5,74.3,8.4
עראבה,531,4,4,6590,,,2,מוסלמים,101.3,,,39.8,54.5,5.7,833.5,25,24,25,38,85.1,,,,,,,,,,,23,25,21,2.6,9.3,43.2,16.8,49.8,89.3,10.4,33.3,1.7,50.8,83000,11.9,86200,15.2,1610,3.9,30.5,39.8,מסורתי,2,1,12.7,36.9,78.6,87.2,3.7
עראבה,531,5,5,6200,,,2,מוסלמים,101.8,,,41.9,54.4,3.7,836.7,24,24,25,42.3,92.6,,,,,,,,,,,24,27,22,2.5,7.4,39.3,25.7,59.2,89,11,34.8,3.4,50.2,80000,15.1,100200,25.2,1450,4,31.5,33.2,מסורתי,2,1.2,9.3,45.5,82.6,86.2,3
עראמשה*,1246,,,1670,24,2657.1,2,מוסלמים,101.4,,0.1,37.3,55.2,7.5,811.9,30,28,31,40.4,72.4,,,,,,,,,,,26,29,23,2.6,10.9,60.6,7.7,55.4,88.2,10.4,37.1,,86,79700,5.2,66100,6.5,470,3.6,25.1,24.6,מסורתי,2,0.6,29.4,31.9,62,77.4,1.1
ערב אל נעים,1335,,,810,27.8,3533.5,2,מוסלמים,121.9,,,39.7,58.6,1.7,706.4,23,23,24,50.5,90.9,,,,,,,,,,,21,22,20,2.2,11.9,,,44.2,95.3,4.7,39.1,,87.4,98100,2.3,22200,,270,3,17.5,38.8,מסורתי,2,0.2,44.7,10.8,38,40.9,
ערד,2560,,,27590,16.5,3639.4,1,יהודים,98.7,2.4,1.2,37.6,47.7,14.7,1097.9,28,26,30,53.4,68.2,65.9,34.1,21,11.1,43.1,3.5,7.1,39.7,6.6,ישראל,22,24,21,2.2,10.1,37.3,17.1,63.1,87,12.9,37.2,14.9,34,84700,9.7,80800,13.7,9200,2.9,24,19.7,חילוני,1,1,48.3,11.6,56.2,63.3,32.8
ערד,2560,1,1,5450,,,1,יהודים,84.7,,,38.7,45.1,16.2,1216.8,29,24,33,55.2,68.7,63.7,36.3,20.3,10.3,42.4,1.8,6.4,41.8,7.6,ישראל,22,23,21,2.4,9.5,41.2,21,65.2,91.1,8.9,36,14.2,35.1,86500,8.2,80300,9.1,1650,3.2,22.9,18.2,חילוני,1,1,51.5,7.7,47.7,73.4,24.2
ערד,2560,2,2,4300,,,1,יהודים,101.1,,,35.5,49.5,15,1018.4,28,25,30,61.1,59.5,61.6,38.4,23.4,12.7,42.4,2.5,5,42.9,7.2,ישראל,21,23,21,2,14.8,44,12.4,57.6,89.6,10.4,34.1,5.9,30.6,69000,4.4,43600,,1630,2.5,22.7,18.7,חילוני,1,0.8,67.1,5.6,33.5,54.8,37.8
ערד,2560,3,3+4,6230,,,1,יהודים,99.4,,,37.3,49.6,13.1,1017.8,27,25,29,62.7,57,64.7,35.3,25.9,15.4,41.6,3.3,8.4,41,5.6,ישראל,22,24,21,2,11.4,45.1,12.4,65.5,85.3,14.6,38.4,9.3,32.7,84300,10.3,87800,15.1,2140,2.8,30.1,17.8,חילוני,1,0.8,49.5,8.8,56.3,56.6,40.5
ערד,2560,5,5,3040,,,1,יהודים,107.8,,,37.5,47.5,15,1106.4,27,26,29,52.1,66.6,69.2,30.8,21.5,12.2,45.5,5.2,7.3,35.6,6.4,ישראל,22,23,21,2.2,9.3,33.5,17.1,60.6,86.2,13.2,37.9,15.4,37.6,85000,12.7,91700,16.6,1020,2.9,24.6,19.8,חילוני,1,1.2,50,17.7,53.1,65.1,30.7
ערד,2560,6,6,6190,,,1,יהודים,104.2,,,36.8,48.2,15,1073.3,31,28,34,34.4,76.8,66.5,33.5,15.9,6.7,40.3,4.6,8.4,40.1,6.6,ישראל,23,24,22,2.3,7.6,26.7,21.4,65.3,83.2,16.8,39.6,24.1,34.3,92400,12.3,77100,18.3,2010,3,19.1,23,חילוני,1,1.4,29.2,19.4,83.4,70.6,25.8
ערד,2560,7,7,2400,,,1,יהודים,101.7,,,42.2,44,13.8,1273,26,25,27,49,81.7,75.5,24.5,18.9,10.1,53.3,4.3,6.2,30.6,5.6,ישראל,21,23,21,2.6,8.4,31.7,15.9,59.7,89.5,10.5,35.2,6.8,33.4,87900,11.4,99400,17.7,720,3.3,24.2,21.1,חילוני,1,1.1,47.3,12.4,56.8,57.8,39.3
ערוגות,593,,,1230,13.8,2043.7,1,יהודים,113.6,,12.3,28.9,58.9,12.3,698.9,34,35,34,26.4,74,89,11,14.7,9,58.7,8.3,7.9,22,3.1,ישראל,26,27,23,1.9,5.7,11.3,30.1,76.7,80.1,18.5,38.8,30,69.8,133200,29.7,150400,42,370,2.9,20.2,22.1,חילוני,1,1.8,12.8,56.5,87.5,51.8,35.5
ערערה,637,,,19920,-8.1,3628.2,2,מוסלמים,105.3,,0.1,38.3,55.4,6.3,806,26,25,27,36.1,87.9,,,,,,,,,,,25,27,23,2.4,11.7,70.7,18.5,60,90.9,8.9,33.6,4.4,65.7,82500,11.8,83000,13.1,5290,3.8,28.2,30.7,מסורתי,2,1,18.3,41.4,78.6,77.2,7.6
ערערה,637,1,1,2880,,,2,מוסלמים,101.5,,,41.5,51.9,6.6,927.8,25,24,26,40.8,84.6,,,,,,,,,,,24,27,22,2.8,14,73.7,13.8,60.7,92.5,7,32.3,4.6,65.4,71200,9.5,93500,8.8,620,4,27.7,25.1,מסורתי,2,0.8,25.4,33.5,74.9,73.3,3.2
ערערה,637,2,2,2770,,,2,מוסלמים,102.6,,,37.1,57,6,755.1,26,24,29,28.3,87.3,,,,,,,,,,,26,28,23,2.2,8.8,76.4,22.7,61.9,93.2,6.8,30.7,,65.8,90700,9.1,55400,28.4,630,3.5,18.6,37.1,מסורתי,2,1.1,13.2,45.8,88.7,79.8,4.7
ערערה,637,3,3,5230,,,2,מוסלמים,102.4,,,40.8,54.5,4.7,835.6,25,25,25,38.1,88.7,,,,,,,,,,,25,27,23,2.6,9.7,60.9,15.7,60.4,90,10,33.5,5.7,72.4,70400,8.3,107300,15.7,1080,4,34.1,33.9,מסורתי,2,1.1,14.3,47.6,80.8,80,9.5
ערערה,637,4,4,4000,,,2,מוסלמים,110.3,,,38.3,55.5,6.2,800.9,27,25,29,39.2,85.3,,,,,,,,,,,25,27,23,2.5,15.8,71.7,18.3,58.1,92.7,7,34.3,7.6,69.9,80600,11.8,44100,13.2,860,3.8,22.7,28.2,מסורתי,2,0.9,20.7,39.7,71,71.9,9.7
ערערה,637,5,5,2420,,,2,מוסלמים,109.1,,,31.1,60,8.9,666.5,29,29,29,35.7,93.1,,,,,,,,,,,25,27,23,2.5,18.8,75.7,18,52.2,89.8,10.2,35,,61.6,88400,18.6,80200,5.7,530,3.5,24.7,29.9,מסורתי,2,0.8,13.9,42.6,82.7,84.9,7.2
ערערה,637,6,6,2610,,,2,מוסלמים,107.7,,,38,54.8,7.2,825.3,26,24,28,31.3,89.9,,,,,,,,,,,26,28,23,2.3,10.7,62.2,21,59.7,87.2,12.3,31.3,9.5,60.7,88200,16.8,54500,8.3,580,3.6,25.5,30.2,מסורתי,2,1.1,27.3,39.9,77.2,86.2,3.4
ערערה-בנגב,1192,,,19540,69.6,5339.6,2,מוסלמים,97.6,,0,54.3,43.6,2.1,1295.8,18,17,18,42.7,71.3,,,,,,,,,,,22,23,20,3.5,6.2,56.4,7.7,23,94.4,1.2,32.8,0.9,47.3,88100,9.2,253200,65.2,3990,4.9,44.4,45.5,מסורתי,2,0.4,56.1,8.6,39.1,77.9,8.6
ערערה-בנגב,1192,1,1,7430,,,2,מוסלמים,101.7,,,56,41.8,2.2,1393.5,17,17,18,40.3,70.2,,,,,,,,,,,22,23,21,3.6,5.3,70.6,9.1,23.6,89.5,0.9,33.4,,49.6,88100,8.8,253200,100,1210,5.4,48.6,48,מסורתי,2,0.5,61.1,11.5,36.4,85.8,4.7
ערערה-בנגב,1192,2,2,7240,,,2,מוסלמים,95.2,,,53,45,2,1221.6,18,17,19,42.9,74.4,,,,,,,,,,,22,23,20,3.1,6.1,46.4,8.5,29.1,95.7,1.6,30.6,,45,79200,8.6,,,1310,4.5,44.8,43.3,מסורתי,2,0.5,46.2,9,51.2,80.7,4.2
ערערה-בנגב,1192,3,3,4880,,,2,מוסלמים,95.1,,,53.8,44.1,2.1,1267.2,18,18,17,46.2,68.1,,,,,,,,,,,22,24,20,4.1,6.9,49.9,5.7,15.8,100,,31.6,3.7,49,98500,6.9,,,920,4.9,42.9,42.7,מסורתי,2,0.3,70.9,1.8,26.5,84.4,5.6
עשרת,591,,,1060,3.1,2043.7,1,יהודים,98,,2.1,23.4,58.4,18.1,711,41,38,43,12.4,87.3,87,13,9.6,5.7,55.2,6.1,7.7,25.5,5.5,ישראל,25,27,24,1.9,5.7,27.6,40.7,72.7,79.8,20.2,38.9,8.7,74.4,151900,40.6,76100,11.2,380,2.7,10.4,28,חילוני,1,2,11.6,56.7,87.4,53.3,29.8
עתלית,53,,,10660,110.7,5410.1,1,יהודים,96.5,0.3,0.5,39.3,50.8,9.9,967.8,32,31,33,39.1,77.4,85.3,14.7,18.4,13,57.1,5.3,14.4,20,3.2,ישראל,27,28,25,2,7.4,34.1,37.1,75.4,85.7,14.3,40.5,16.5,73.3,150500,34,86800,22.9,3320,3.2,30.8,14.3,חילוני,1,1.7,9.5,52.1,79.4,62.6,30.5
עתלית,53,1,1,3410,,,1,יהודים,101.8,,,44.2,49,6.8,1039.2,28,24,32,24.9,89,88.3,11.7,20.9,15.3,61.8,5.4,8.6,20.1,4.2,ישראל,27,29,26,2,3.9,16.2,47.8,79.9,83.8,16.2,42.5,22.8,79.3,198200,46.3,93400,24.7,930,3.7,37.7,13.1,חילוני,1,2.2,1.5,66.9,91.5,73.5,23.7
עתלית,53,2,2,3300,,,1,יהודים,94.4,,,44.1,50.1,5.8,996.7,30,30,31,58.6,70.9,88.7,11.3,24.7,17.5,63.6,4.4,10.1,18.7,3.2,ישראל,27,28,26,2,5.3,31.8,48.7,80.7,87.3,12.7,42.5,10.9,78.5,159800,34.3,115100,32.3,970,3.4,41.4,10.1,חילוני,1,1.9,4.2,56.4,92.1,54.9,39.9
עתלית,53,3,3,2980,,,1,יהודים,90.6,,,31.8,53.4,14.8,873.5,34,33,35,39.6,70.6,80.5,19.5,12.2,8.5,48.1,5.7,26.9,17.2,2,ישראל,25,27,23,2,13.2,47.8,16.5,67.9,88.7,11.3,36.4,13.1,59.5,105700,17.6,66000,9.3,1080,2.7,20.2,16.6,חילוני,1,1.2,21.8,33.1,56.9,60.9,29.7
עתלית,53,4,4,960,,,1,יהודים,105,,,28.4,51.7,19.9,932.5,40,38,42,11.5,74.8,77.8,22.2,19.5,12.8,45.8,6.9,11.3,33,3,ישראל,26,28,25,2,7.8,28.4,36.8,71.7,79.4,20.6,40,22.8,73.5,177500,42.5,59900,22.2,330,2.9,16.1,19.9,חילוני,1,1.8,8.3,59.6,80.2,62.7,22.2
עתניאל,3748,,,980,26.2,4690.4,1,יהודים,149.5,21.6,0.1,51.4,45.5,3.1,1195.7,19,20,17,27,97.3,90.3,9.7,42.6,24.8,65.7,4.2,6.2,11.1,12.8,ישראל,23,24,22,3.3,1.4,,42.4,77.4,84.7,15.3,39.2,29.9,59.8,116300,21.7,56900,,170,4.7,42.9,37.2,דתי/ דתי מאוד,3,2.3,1.3,37.6,55.7,70.1,17.9
פארן,1151,,,1080,30.4,2160.7,6,דת אחרת,270.1,3.5,52.3,20.9,71.1,8,405.7,32,32,32,14.9,90.1,,,,,,,,,,,26,27,24,2.4,1.5,7.3,39.2,82,54.4,45.6,38.6,22.4,23.5,107800,18,112600,21.5,160,3.2,22.6,15.7,חילוני,1,1.9,6.7,70.5,86.9,66.5,25.7
פדואל,3768,,,2180,101.2,7016.7,1,יהודים,106,4.9,0.2,55.2,43.6,1.2,1293.9,18,18,18,38.5,93.7,92.4,7.6,55.5,50.2,73.7,2.8,4.1,14.3,5.1,ישראל,23,24,22,2.9,1.1,46.4,48.5,82.3,90,10,36.6,26.8,75.2,134900,28.8,104100,28.2,440,4.6,43.3,32.3,דתי/ דתי מאוד,3,2.2,8.7,61.5,83.6,76,21.4
פדויים,750,,,490,14.3,980.3,1,יהודים,100.9,,4.1,34.4,54.9,10.7,821.3,32,34,31,28.2,77,90.6,9.4,24.3,15,57.2,26.8,10.5,3.3,2.2,ישראל,26,29,25,2.6,8.6,53.8,17.5,69.6,84.4,15,40.5,9.3,68.5,125300,14.2,74900,11.6,150,3.2,15.8,24,מסורתי,2,1.5,4.7,49.1,84.4,58.5,15.2
פדיה,838,,,950,35.6,2312.1,1,יהודים,109.1,,10,28.6,62.4,9,601.5,31,31,32,24.7,78.5,91.8,8.2,3.1,2.1,59.8,28.1,9.2,2.2,0.7,ישראל,24,26,23,2.3,9.3,48.6,17.5,71.4,85.2,14.8,39,12.2,82.1,121600,22,236300,60,280,3,22.7,22.8,מסורתי,2,1.1,14.5,49.7,92.6,50.8,38
פוריידיס,537,,,13110,21.2,11108.6,2,מוסלמים,99.5,,0.2,35.6,58.2,6.2,718.9,28,27,28,39.6,86.5,,,,,,,,,,,23,25,21,2.4,8.9,55.4,7.6,61.3,92.4,7.3,25.4,3.7,62,81300,4.6,96100,20.4,3660,3.6,24.7,33.4,מסורתי,2,0.7,17.4,29.1,53.1,80.6,4
פוריידיס,537,1,1,4140,,,2,מוסלמים,98.4,,,33.8,59,7.1,694.9,29,27,32,37.2,82.4,,,,,,,,,,,22,25,20,2.4,12,59.5,4.5,59.6,95.6,4.4,25.7,2.5,65.6,79400,2.9,96100,16.2,1150,3.3,17.4,36,מסורתי,2,0.6,21.8,23.8,47.1,80.9,2.9
פוריידיס,537,2,2,4220,,,2,מוסלמים,97,,,36,58.3,5.8,716.7,28,27,29,38.5,89.2,,,,,,,,,,,24,25,21,2.4,9.1,58.5,8.9,58.9,89.9,9.2,24.5,2.1,56.7,81300,4.9,81700,36.5,1030,3.8,26.9,30.9,מסורתי,2,0.7,14.2,32.2,58.4,82.8,5.2
פוריידיס,537,3,3,4740,,,2,מוסלמים,102.8,,,36.9,57.4,5.8,742.5,27,27,26,42.2,87.8,,,,,,,,,,,23,26,21,2.4,6.7,48,7.9,65,90.7,9.1,26.5,7,63.9,85100,5.4,111700,8.9,1180,3.7,28.4,32.3,מסורתי,2,0.7,16.2,31.6,49.3,80.7,4.8
פורייה - כפר עבודה,1104,,,320,13.6,1667.1,1,יהודים,116.8,,,31.6,57.1,11.2,750.3,32,33,31,32.1,67.9,87.1,12.9,26.8,15.5,50.8,18.6,17,7.4,6.2,ישראל,25,26,23,1.9,3.5,21.7,18.9,70.6,87.1,12.9,37,45.8,91,98100,24.9,86300,7,100,3.2,22.2,22.7,מסורתי,2,1.3,9.3,33.6,94.5,58.2,24.5
פורייה - נווה עובד,1105,,,1520,82.2,3304.9,1,יהודים,109.6,,0.5,30.3,58.1,11.6,721.7,31,30,31,45.5,75.5,87.3,12.7,14.9,7,59.4,5.6,23.9,7.7,3.4,ישראל,25,26,24,2.3,15.5,58.8,15.8,73.4,82.5,17.5,37.9,40.7,85.4,94700,11.6,73100,16.4,520,2.9,26.5,17.7,מסורתי,2,1.2,23.5,35.8,76.8,53.3,35.3
פורייה עילית,1313,,,1360,114.9,2837.4,1,יהודים,98.1,,0.1,32,54,14,853.6,33,33,34,25.3,81.5,82.6,17.4,32.9,15.1,53.6,8,16.4,13.6,8.3,ישראל,26,27,24,2.2,7.4,22.6,23.6,68.7,81.3,18.7,38,9.3,75,117400,19.5,96700,19.9,430,3.2,16.4,24,חילוני,1,1.5,4.6,49.3,87.4,58.9,31
פורת,767,,,1480,36.3,2555.1,1,יהודים,124.4,,3.7,35.3,56,8.7,786.1,31,30,32,31.6,82.1,92.4,7.6,19.1,13.1,61.2,3.7,29,5.2,0.8,ישראל,26,27,24,2.4,9.7,39.1,11.7,72.8,80.7,19.3,34.5,21.1,76.5,89300,12.6,100300,28.5,480,3,24.6,18.6,דתי/ דתי מאוד,3,1.1,15.6,49.3,83.6,45.7,15.6
